epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5761,2.86866,10.1638,3.65679,0.00292,0.7,0.01049,0.00332,3.41849,15.1812,4.60959,6e-05,6e-05,6e-05
2,97.1267,2.44649,10.8721,3.31417,0.00375,0.9,0.20935,0.10082,2.61259,14.042,3.59444,0.000139723,0.000139723,0.000139723
3,121.685,2.71154,9.55507,3.2634,0.00396,0.95,0.20265,0.10752,2.25148,13.3774,2.84643,0.000219129,0.000219129,0.000219129
4,145.967,2.54312,8.65617,3.20201,0.00396,0.95,0.1044,0.07421,3.03046,14.2454,3.42906,0.000298218,0.000298218,0.000298218
5,170.984,2.42554,8.55478,2.97783,0.00396,0.95,0.12131,0.08031,3.21828,14.4616,3.51108,0.00037699,0.00037699,0.00037699
6,196.096,2.20229,7.42165,2.72076,0.00396,0.95,0.14942,0.11766,3.17275,14.6033,3.60447,0.000455446,0.000455446,0.000455446
7,222.23,2.49657,7.74222,2.9384,0.00375,0.9,0.1419,0.07228,3.91065,15.2128,4.48545,0.000533585,0.000533585,0.000533585
8,247.755,2.53818,8.0783,3.00669,0.00354,0.85,0.03099,0.01506,4.17498,15.5366,4.57935,0.000611407,0.000611407,0.000611407
9,272.916,2.52669,8.23556,3.13699,0.00333,0.8,0.04259,0.01791,3.82314,15.3239,4.38173,0.000688912,0.000688912,0.000688912
10,297.994,2.27793,8.63485,3.06829,0.00333,0.8,0.01643,0.00734,4.3443,16.298,5.07695,0.0007661,0.0007661,0.0007661
11,323.617,2.38894,6.84289,2.84671,0.00375,0.9,0.02271,0.00841,4.2028,15.6625,5.0639,0.000842972,0.000842972,0.000842972
12,348.746,2.92568,7.41605,3.2056,0.00333,0.8,0.05358,0.0258,4.16275,15.6974,5.72643,0.000919527,0.000919527,0.000919527
13,373.752,2.82364,7.35123,3.11015,0.00333,0.8,0.02655,0.00954,4.3422,16.6083,6.01307,0.000995765,0.000995765,0.000995765
14,398.707,2.49872,8.66023,3.17706,0.00292,0.7,0.02012,0.00662,4.72279,16.7405,6.46526,0.00107169,0.00107169,0.00107169
15,423.679,2.43556,7.20936,2.92176,0.00313,0.75,0.04308,0.01562,4.60895,15.489,6.4692,0.00114729,0.00114729,0.00114729
