epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2836,2.11236,2.33916,2.61892,0.55478,0.7,0.65598,0.35379,3.66054,2.91309,3.9343,6e-05,6e-05,6e-05
2,107.636,1.6854,2.41928,2.37146,0.76743,0.75,0.79883,0.3763,3.82625,2.55649,3.93282,0.000138614,0.000138614,0.000138614
3,137.572,2.07986,2.35559,2.58946,0.84713,0.65,0.77502,0.3879,3.68371,2.69897,3.80562,0.000215644,0.000215644,0.000215644
4,167.632,1.76966,2.49353,2.45981,0.71661,0.7,0.75941,0.35786,3.86227,2.84998,3.81071,0.00029109,0.00029109,0.00029109
5,197.272,1.82375,1.82021,2.36766,0.65077,0.65231,0.71589,0.34342,3.78675,2.94082,3.78899,0.000364952,0.000364952,0.000364952
6,227.147,1.62711,1.94944,2.36598,0.67945,0.7,0.67586,0.34625,3.57829,2.85907,3.63154,0.00043723,0.00043723,0.00043723
7,256.775,1.71129,2.07499,2.34944,0.55044,0.6,0.57441,0.27288,3.34341,3.43349,3.49061,0.000507924,0.000507924,0.000507924
8,286.636,1.73794,1.86544,2.38526,0.59151,0.4,0.50856,0.22057,3.44378,3.83861,3.62186,0.000577034,0.000577034,0.000577034
9,316.33,1.89156,2.1632,2.4043,0.34084,0.35,0.34614,0.15347,3.55552,4.46725,3.71641,0.00064456,0.00064456,0.00064456
10,346.012,1.70324,1.81787,2.36986,0.33262,0.25,0.1926,0.09159,3.93336,5.49372,3.9857,0.000710502,0.000710502,0.000710502
11,375.145,1.6239,1.84408,2.24356,1,0.09822,0.14288,0.05291,4.82319,6.33626,4.77946,0.00077486,0.00077486,0.00077486
12,404.325,1.9963,2.33116,2.52006,0.58985,0.15,0.14818,0.08291,4.74734,6.44301,4.71295,0.000837634,0.000837634,0.000837634
13,433.407,1.93942,2.1216,2.44352,0.37815,0.25,0.21134,0.08206,4.89041,5.3527,4.83648,0.000898824,0.000898824,0.000898824
14,462.188,2.0329,2.31603,2.74861,0.53757,0.25,0.28419,0.12583,4.64091,4.81996,4.83559,0.00095843,0.00095843,0.00095843
15,490.953,1.83523,2.44335,2.40477,0.38932,0.45,0.35764,0.16793,4.01316,4.44268,4.16916,0.00101645,0.00101645,0.00101645
16,519.571,1.75169,1.78664,2.58873,0.62138,0.35,0.45346,0.2305,3.64779,4.40096,3.91743,0.00107289,0.00107289,0.00107289
17,548.32,2.15685,2.2036,2.75389,0.54616,0.5,0.47788,0.2335,4.02318,3.88501,4.05593,0.00112774,0.00112774,0.00112774
18,577.196,1.68315,1.80716,2.491,0.64981,0.45,0.50368,0.22189,3.90437,3.97328,4.01652,0.00118101,0.00118101,0.00118101
19,606.586,1.75506,2.30109,2.33188,0.45485,0.45,0.37264,0.16997,3.80244,4.25943,3.92479,0.0012327,0.0012327,0.0012327
20,635.212,1.79645,2.29003,2.46154,0.40196,0.35,0.32131,0.15813,3.94102,4.3035,4.00642,0.0012828,0.0012828,0.0012828
21,663.899,2.18662,3.53102,2.96279,0.32653,0.55,0.34982,0.16409,4.07771,4.51756,4.27586,0.00133132,0.00133132,0.00133132
22,692.514,1.89341,1.94662,2.44037,0.45066,0.45126,0.38982,0.16675,4.46753,4.48057,4.74466,0.00137825,0.00137825,0.00137825
23,721.412,1.79001,1.88013,2.38125,0.591,0.45,0.39245,0.12138,4.54884,5.03584,4.86564,0.0014236,0.0014236,0.0014236
24,750.349,2.0607,2.20689,2.75476,0.59213,0.45,0.45015,0.14486,4.52879,4.82278,4.86563,0.00146737,0.00146737,0.00146737
25,779.069,1.71829,1.7851,2.3955,0.66883,0.55,0.57094,0.16369,4.44507,4.39339,4.88416,0.00150955,0.00150955,0.00150955
26,807.648,1.99436,2.71789,2.51544,0.47988,0.55,0.41633,0.15819,4.23762,4.4834,4.62482,0.001505,0.001505,0.001505
27,837.04,1.90921,1.93632,2.48089,0.44034,0.4,0.42277,0.16416,4.15632,4.4113,4.30079,0.0014852,0.0014852,0.0014852
28,866.031,1.8622,1.78377,2.48341,0.52887,0.45,0.36368,0.16938,4.05779,4.46658,4.43517,0.0014654,0.0014654,0.0014654
29,894.879,1.81072,1.95993,2.37658,0.68012,0.35,0.38182,0.1079,4.83458,4.78284,4.78003,0.0014456,0.0014456,0.0014456
30,923.713,1.83578,1.85823,2.33089,0.32104,0.28432,0.21878,0.07364,4.55352,6.04261,4.89647,0.0014258,0.0014258,0.0014258
31,952.969,1.8305,1.87263,2.36274,0.30871,0.2,0.13303,0.03955,4.684,6.41692,5.03051,0.001406,0.001406,0.001406
32,981.657,1.60431,1.66648,2.26837,0.29076,0.3,0.2309,0.06019,4.21197,5.78265,4.69636,0.0013862,0.0013862,0.0013862
33,1010.43,1.69133,2.1261,2.31018,0.23632,0.3,0.12421,0.06438,4.1088,5.59031,4.46807,0.0013664,0.0013664,0.0013664
34,1039.29,2.03583,1.85082,2.62415,0.5359,0.25,0.21224,0.12488,3.63363,5.2073,3.8972,0.0013466,0.0013466,0.0013466
35,1068.12,1.62519,1.90138,2.29988,0.31112,0.45,0.27685,0.14988,3.42094,4.93646,3.7347,0.0013268,0.0013268,0.0013268
36,1096.93,1.75389,2.28358,2.55888,0.389,0.25,0.20831,0.10413,3.42813,5.04826,3.78943,0.001307,0.001307,0.001307
37,1125.97,2.45725,2.75507,3.50494,0.39927,0.29915,0.24445,0.12836,3.54532,4.73674,3.93963,0.0012872,0.0012872,0.0012872
38,1154.85,1.77758,2.30571,2.26774,0.29009,0.4,0.29713,0.1386,3.61329,4.66189,4.06419,0.0012674,0.0012674,0.0012674
39,1184.12,1.51876,1.75773,2.26678,0.33451,0.35,0.29896,0.13968,3.64273,4.35843,4.11849,0.0012476,0.0012476,0.0012476
40,1212.98,1.96756,2.10736,2.5255,0.37461,0.45,0.34947,0.1568,3.75619,4.08389,4.26672,0.0012278,0.0012278,0.0012278
41,1251.07,1.49887,1.95695,2.28296,0.38904,0.3,0.31929,0.14418,3.88334,4.41868,4.37332,0.001208,0.001208,0.001208
42,1294.51,1.63717,1.88399,2.4159,0.50693,0.4,0.35038,0.15544,4.10067,4.5118,4.72489,0.0011882,0.0011882,0.0011882
43,1333.61,1.65539,1.91215,2.35264,0.69712,0.35,0.4309,0.19195,4.22358,4.55281,4.79696,0.0011684,0.0011684,0.0011684
44,1369.55,2.05396,1.95681,2.7167,0.45642,0.35,0.36293,0.12605,4.4519,4.7915,4.899,0.0011486,0.0011486,0.0011486
45,1406.16,2.19594,1.83995,2.70938,0.29971,0.2,0.28124,0.11345,4.53406,5.1699,4.86372,0.0011288,0.0011288,0.0011288
46,1439.69,1.95323,2.03661,2.47952,0.48759,0.3,0.3312,0.10958,4.56216,5.10556,4.87863,0.001109,0.001109,0.001109
47,1475.3,1.86994,1.68792,2.43914,0.487,0.3,0.32951,0.10105,4.27623,4.82229,4.58522,0.0010892,0.0010892,0.0010892
48,1508.66,1.42053,1.60646,2.20155,0.38145,0.45,0.37035,0.14296,3.97166,4.64497,4.27626,0.0010694,0.0010694,0.0010694
49,1548.92,1.66757,1.59653,2.34829,0.38381,0.4,0.35164,0.1492,3.91062,4.55392,4.06351,0.0010496,0.0010496,0.0010496
50,1584.93,1.77544,2.02217,2.45804,0.36366,0.5,0.34108,0.15814,3.88336,4.51031,4.06493,0.0010298,0.0010298,0.0010298
51,1623.86,1.53105,2.06434,2.3334,0.35307,0.4,0.35994,0.17906,3.76885,4.52822,4.1716,0.00101,0.00101,0.00101
